trip_id,start_time,end_time,headway_secs,exact_times
ETUSA-178-dir0,05:45:00,06:30:00,3600,0
ETUSA-178-dir0,06:30:00,09:30:00,3600,0
ETUSA-178-dir0,09:30:00,16:00:00,3600,0
ETUSA-178-dir0,16:00:00,19:00:00,3600,0
ETUSA-178-dir0,19:00:00,24:10:00,3600,0
ETUSA-604-dir0,05:50:00,06:30:00,3600,0
ETUSA-604-dir0,06:30:00,09:30:00,2400,0
ETUSA-604-dir0,09:30:00,16:00:00,3600,0
ETUSA-604-dir0,16:00:00,19:00:00,2400,0
ETUSA-604-dir0,19:00:00,19:40:00,3600,0
ETUSA-606-dir0,05:50:00,06:30:00,3600,0
ETUSA-606-dir0,06:30:00,09:30:00,2400,0
ETUSA-606-dir0,09:30:00,16:00:00,3600,0
ETUSA-606-dir0,16:00:00,19:00:00,2400,0
ETUSA-643-dir0,06:20:00,06:30:00,3600,0
ETUSA-643-dir0,06:30:00,09:30:00,2400,0
ETUSA-643-dir0,09:30:00,16:00:00,3600,0
ETUSA-643-dir0,16:00:00,18:00:00,2400,0
ETUSA-643-dir1,06:20:00,06:30:00,3600,0
ETUSA-643-dir1,06:30:00,09:30:00,2400,0
ETUSA-643-dir1,09:30:00,16:00:00,3600,0
ETUSA-643-dir1,16:00:00,18:00:00,2400,0
ETUSA-701-dir0,05:50:00,06:30:00,3600,0
ETUSA-701-dir0,06:30:00,09:30:00,2400,0
ETUSA-701-dir0,09:30:00,16:00:00,3600,0
ETUSA-701-dir0,16:00:00,18:50:00,2400,0
ETUSA-701-dir1,05:50:00,06:30:00,3600,0
ETUSA-701-dir1,06:30:00,09:30:00,2400,0
ETUSA-701-dir1,09:30:00,16:00:00,3600,0
ETUSA-701-dir1,16:00:00,18:50:00,2400,0
ETUSA-707-dir0,06:10:00,06:30:00,3600,0
ETUSA-707-dir0,06:30:00,09:30:00,2400,0
ETUSA-707-dir0,09:30:00,16:00:00,3600,0
ETUSA-707-dir0,16:00:00,18:40:00,2400,0
ETUSA-731-dir0,05:50:00,06:30:00,3600,0
ETUSA-731-dir0,06:30:00,09:30:00,2400,0
ETUSA-731-dir0,09:30:00,16:00:00,3600,0
ETUSA-731-dir0,16:00:00,18:50:00,2400,0
ETUSA-731-dir1,05:50:00,06:30:00,3600,0
ETUSA-731-dir1,06:30:00,09:30:00,2400,0
ETUSA-731-dir1,09:30:00,16:00:00,3600,0
ETUSA-731-dir1,16:00:00,18:50:00,2400,0
ETUSA-732-dir0,05:50:00,06:30:00,3600,0
ETUSA-732-dir0,06:30:00,09:30:00,2400,0
ETUSA-732-dir0,09:30:00,16:00:00,3600,0
ETUSA-732-dir0,16:00:00,18:20:00,2400,0
ETUSA-732-dir1,05:50:00,06:30:00,3600,0
ETUSA-732-dir1,06:30:00,09:30:00,2400,0
ETUSA-732-dir1,09:30:00,16:00:00,3600,0
ETUSA-732-dir1,16:00:00,18:20:00,2400,0
